,date,compID,location,first_name,last_name,name,position,primary position,college,division,result,mu,sigma,Partner,Opponent 1,Opponent 2
0,2018-02-23,800,"Deland, FL",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,30.258322630298363,7.7743633497703355,Ali Denney (30.2583226303),Brooke Weiner (24.0416773697),Tiffany Creamer (24.0416773697)
1,2018-02-23,803,"Deland, FL",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,0,29.543689451577315,7.268023107364075,Ali Denney (29.5436894516),Macy Jerger (35.272955809),Victoria Paranagua (35.272955809)
2,2018-02-24,823,"Deland, FL",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,34.393153501238004,6.824537863414604,Ali Denney (34.3931535012),Carly Perales (29.1577486727),Sunniva Helland-Hansen (29.1577486727)
3,2018-02-24,828,"Deland, FL",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,37.17876667252001,6.642627464909229,Ali Denney (37.1787666725),Gabrielle Dischler (25.3668535252),Jessalyn Kinlaw (25.3668535252)
4,2018-03-03,937,"St Augustine, Fl",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,0,34.4152042137351,6.209746977214658,Ali Denney (34.4152042137),Nicole Lott (34.8826664525),Maddy Kline (34.8826664525)
5,2018-03-03,938,"St Augustine, Fl",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,37.261006600205015,6.025855858504956,Ali Denney (37.2610066002),Gabrielle Dischler (27.28649034),Jessalyn Kinlaw (27.28649034)
6,2018-03-04,969,"St. Augustine, Fl",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,43.0287014747971,5.609144775146764,Ali Denney (43.0287014748),Tiffany Creamer (40.5620193744),Teegan Van Gunst (43.4237828798)
7,2018-03-04,972,"St Augustine, Fl",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,45.53773874331429,5.51010944743947,Ali Denney (45.5377387433),Carina Hoff (33.5891504601),Courtney Miller (33.5891504601)
8,2018-03-10,1049,"Columbia, S.C.",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,0,42.347361667547816,5.2188243265287895,Ali Denney (42.3473616675),Savannah Siegrist (39.3633016613),Mackenzie Swan (39.3633016613)
9,2018-03-10,1050,"Columbia, S.C.",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,44.807838698884666,5.13220237204349,Ali Denney (44.8078386989),Carina Hoff (33.3719645385),Courtney Miller (33.3719645385)
10,2018-03-17,1149,"Columbia, SC",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,50.99423441243694,4.778204443679431,Ali Denney (50.9942344124),Tiffany Creamer (51.7295970457),Teegan Van Gunst (54.267057615)
11,2018-03-17,1157,"Columbia, SC",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,0,52.61825264760621,4.642988821061039,Ali Denney (52.6182526476),Madalyn Roh (60.2609400017),Brook Bauer (60.2609400017)
12,2018-03-18,1192,"Columbia, S.C.",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,0,54.48373953414046,4.558133989499018,Ali Denney (54.4837395341),Claire Coppola (64.1243760779),Kristen Nuss (64.1243760779)
13,2018-03-18,1201,"Columbia, S.C.",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,56.63657199372962,4.557376941467977,Ali Denney (56.6365719937),Katie Will (36.0129646307),Sadie Anderson (30.6800801776)
14,2018-03-24,1274,"Columbia, S.C.",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,58.82267136492363,4.544996884057631,Ali Denney (58.8226713649),Amanda Carroll (40.7532862284),Mackenzie Allen (40.7532862284)
15,2018-03-24,1289,"Columbia, S.C.",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,0,60.807998057286326,4.489742048292247,Ali Denney (60.8079980573),Emily Maglio (72.0215215819),Ka'iwi Schucht (72.0215215819)
16,2018-03-25,1324,"Columbia, SC",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,0,59.79108492499773,4.217843616027717,Ali Denney (59.791084925),Haven Hill (57.5534739603),Cassie House (57.5534739603)
17,2018-03-25,1325,"Columbia, S.C.",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,0,59.740211495363944,4.0201768145361765,Ali Denney (59.7402114954),Kenley Adams (59.1915537598),Devon May (59.2451587235)
18,2018-03-30,1350,"Miami, Fl",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,62.76419791756514,3.8797064037708675,Ali Denney (62.7641979176),Haven Hill (58.8533469525),Cassie House (58.8533469525)
19,2018-03-30,1362,"Miami, Fl",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,0,62.604622386695084,3.703735184104003,Ali Denney (62.6046223867),Molly Turner (62.0255043102),Hannah Towne (59.0501585735)
20,2018-03-30,1372,"Miami, Fl",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,0,64.6737310801521,3.680126388554492,Ali Denney (64.6737310802),Federica Frasca (76.6312689616),Margherita Bianchin (76.6312689616)
21,2018-03-31,1410,"Miami, Fl",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,0,66.81988919224055,3.67910025662606,Ali Denney (66.8198891922),Nicole McNamara (84.7365160728),Megan McNamara (84.7365160728)
22,2018-04-13,1602,"Columbia, S.C.",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,69.0894221763909,3.6493316234071185,Ali Denney (69.0894221764),Aleksandra Djuric (59.0815596163),Leah Hardeman (56.7818135657)
23,2018-04-13,1603,"Columbia, S.C.",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,0,71.23909010954502,3.65007310832214,Ali Denney (71.2390901095),Madeline Mertz (92.7929605828),Kaylie Mchugh (92.7929605828)
24,2018-04-14,1648,"Columbia, S.C.",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,73.40280880354001,3.645838651794821,Ali Denney (73.4028088035),Taylor Fricano (56.2093190633),Veronica Snelling (56.2093190633)
25,2018-04-14,1649,"Columbia, S.C.",Shannon,Williams,Shannon Williams,1,1,South Carolina,DI,1,75.63692020040786,3.619903830642166,Ali Denney (75.6369202004),Katja Ehlers (65.0702631073),Devon Rachel (63.8611559427)
26,2018-04-20,1716,"Emerson, Ga",Shannon,Williams,Shannon Williams,2,1,South Carolina,DI,1,77.28693466470732,3.6208524516257548,Ali Denney (77.2869346647),Avei Logoleo (57.861435069),Erin Bognar (43.7450216052)
27,2018-04-20,1720,"Emerson, Ga",Shannon,Williams,Shannon Williams,2,1,South Carolina,DI,1,79.04908573298364,3.5864865688007046,Ali Denney (79.049085733),Tarin Mergener (69.2658173806),Lan Nguyen (68.9070331567)
28,2018-04-21,1765,"Emerson, Ga",Shannon,Williams,Shannon Williams,2,1,South Carolina,DI,1,80.7075820033653,3.5834525506576322,Ali Denney (80.7075820034),Devon Rachel (66.1559205271),Mckala Rhodes (63.4424000266)
29,2018-04-21,1767,"Emerson, Ga",Shannon,Williams,Shannon Williams,2,1,South Carolina,DI,1,82.36597530302554,3.5804648301635407,Ali Denney (82.365975303),Devon Rachel (67.7987592949),Mckala Rhodes (65.0850585973)
30,2018-04-21,1774,"Emerson, Ga",Shannon,Williams,Shannon Williams,2,1,South Carolina,DI,1,84.01629681282671,3.5812312752069926,Ali Denney (84.0162968128),Erika Zembyla (61.0188446509),Lina Bernier (64.6299658438)
31,2018-04-22,1800,"Emerson, Ga    (Semis)",Shannon,Williams,Shannon Williams,2,1,South Carolina,DI,1,85.70267161477283,3.5682628920460013,Ali Denney (85.7026716148),Haleigh Nelson (80.5914215791),Mandi Orellana (65.1368985635)
32,2018-05-04,1874,"Gulf Shores, Al",Shannon,Williams,Shannon Williams,2,1,South Carolina,DI,1,87.38756869742092,3.5558124188323874,Ali Denney (87.3875686974),Haleigh Nelson (82.2191343383),Mandi Orellana (66.7515548783)
